Ad group type,(All),,
Ad group bid strategy type,(All),,
Brand Vertical Classification,(All),,
,,,
Row Labels,Sum of Cost,Sum of Views,CPV
1-Jan,33277.89,1541767,0.021584254
2-Jan,35665.88,2006506,0.017775118
3-Jan,34034.56,2160422,0.015753663
4-Jan,33015.03,2174234,0.015184672
5-Jan,42623.95,2715156,0.015698527
6-Jan,42650.37,2903954,0.014686999
7-Jan,46444.65,3185259,0.014581122
8-Jan,64679.27,3229501,0.020027636
9-Jan,66262.5,3976940,0.01666168
10-Jan,52995.28,3525165,0.015033418
11-Jan,45671.28,3168110,0.014415939
12-Jan,49399.2,3278718,0.015066621
13-Jan,54653.18,3638455,0.015020986
14-Jan,79678.34,4339123,0.018362775
15-Jan,71838.92,4201280,0.017099294
16-Jan,67095.68,3986323,0.016831471
17-Jan,46166.34,3169469,0.014565954
18-Jan,59182.03,3631446,0.016297098
19-Jan,71214.26,4241485,0.016789936
20-Jan,72085,4282209,0.016833602
21-Jan,72104.92,4227715,0.017055293
22-Jan,93765.6,4608957,0.020344212
23-Jan,95301.62,5067311,0.018807139
24-Jan,90490.48,4944006,0.018303068
25-Jan,94656.54,5161518,0.018338896
26-Jan,110029.95,5944726,0.018508835
27-Jan,114517.53,6011493,0.019049765
28-Jan,109089.88,5655022,0.019290797
29-Jan,121571.75,6187259,0.019648725
30-Jan,107171.04,5532073,0.019372673
31-Jan,89734.8,4572734,0.019623884
1-Feb,78686.48,4000676,0.019668296
2-Feb,98556.05,5268838,0.018705462
3-Feb,115194.99,5365281,0.021470449
4-Feb,103925.91,4917866,0.021132318
5-Feb,83587,3942366,0.021202243
6-Feb,81501.53,3681647,0.022137247
7-Feb,85759.63,4005363,0.0214112
8-Feb,94432.37,5009757,0.018849691
9-Feb,102360.23,4899343,0.020892644
10-Feb,110095.01,5361606,0.020533961
11-Feb,108854.03,5439492,0.020011801
12-Feb,111187.44,6387005,0.017408385
13-Feb,101268.93,5858862,0.017284744
14-Feb,95941.35,5413678,0.017722027
15-Feb,95783.95,5164649,0.018546072
16-Feb,97356.87,5783206,0.016834412
17-Feb,98245.72,5644353,0.01740602
